,company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,payrate,skills,uniq_id
1,HANSUM INDIA ELECTRONICS PVT.LTD.,"UG: Diploma - Any Specialization, Electronics/Telecommunication",1 ,"['Industrial Products ', ' Heavy Machinery']","pend handl entir product line 30 employees. handl tool equip use line. give proper train traine employees. keep document materi , finish good daili output maintain target output qualiti product. salary:inr 1,00,000 - 2,00,000 p.a industry: industri product / heavi machineri function area: product , manufactur , mainten role category:production/manufacturing/mainten role:product develop execut keyskil product qualiti product team lead team handl teamleadar desir candid profil pleas refer job descript education- ug: diploma - ani specialization, electronics/telecommun compani profile: hansum india electron pvt.ltd. pleas look websit information. www.hansum.in download ppt photo 1 view contact detail",9904,['Bengaluru'],Team Leader,"1,00,000 - 2,00,000 P.A",Production,14053
2,Premium,"UG: Any Graduate - Any Specialization PG:Any Postgraduate, MBA/PGDM - Any Specialization Doctorate:Doctorate Not Required",1 ,"['FMCG ', ' Foods ', ' Beverage']","tray product-start-up help restaur market, engag sell custom online. 6 10 restaur shut less year start & serv bad food expens fail reach enough custom cover costs. with data driven product services, limetray make easier restaur tap custom base live online. limetray one fastest grow start-up india, present pan india citi like delhi, bangalore, hyderabad, mumbai, navi mumbai, pune, chennai, ahmedabad, chandigarh, jaipur cities; period 2 year 6 months; around 250+ employe india. our found team consist isb, nsit alumni strong-domain knowledg built one largest onlin food order portal count success internet entrepreneur angel investor & advisors. We also back matrix partners, one top 5 VC firm india. when work us, work peer group compris peopl previous work compani like mckinsey & company, JP morgan, bain & company, zomato, foodpanda rocket internet We manag 1200+ clientel includ big brand like burger king, subway, brekkie, MK dabbawala, krisp kreme, tummi kart, leopold cafe, kaati zone, roll wheels, bhukkad, beij bites, the chocol room, calvins, khan saheb, night panda, tikki tikki, mani more. We limetray believ power hustle, hunger ambition. We excit face new challeng explor potenti think beyond. everyon team henc high sens ownership & given lot responsibilities. so, look energetic, self motiv passion peopl join us quick get magic start respons - person contact secur new busi accounts/ord relationship-bas approach. - demonstr product servic exist potenti custom assist select best suit needs. - achiev maximum sale profitability, growth account penetr within assign territori and/or market segment effect sell company' product services. skill set - we'r look peopl enjoy sell - courageous, competit hungri folk like go out, meet peopl & abl strike convers easili - confidence, dilig abil persever key skill - excel commun skill what offer - competit compens packag - challeng career path huge growth opportun across function geographi high perform - A workplac creat huge impact salary: not disclos recruit industry: fmcg / food / beverag function area: sale , retail , busi develop role category:retail sale role:sales/busi develop manag keyskil busi develop manag sale sell profit new busi commun skill desir candid profil pleas refer job descript education- ug: ani graduat - ani special pg:ani postgraduate, mba/pgdm - ani special doctorate:doctor not requir compani profile: premium limetray product-startup help restaur market, engag sell custom online. 6 10 restaur shut less year start & serv bad food expens fail reach enough custom cover costs. download ppt photo 1 view contact detail",7705,"['Mumbai,', 'Delhi,', 'Bengaluru']",Business Development Manager,-,strategic skills ms office teamwork communication skills marketing,11861
3,R3 Plant Design,"UG: B.Tech/B.E. - Mechanical, Mineral, Mining, Diploma - Any Specialization",3 ,"['Industrial Products ', ' Heavy Machinery']","descript : interest real mechan design.. If So opportun !! our compani small, dedic shore design offic australian company, involv design materi handl equipment' structur mining, grain miner process industri I We look engineers, least 3 year experi autodesk inventor. must profici part modeling, sheet metal modeling, larg assembl & detail drawings. candid abl commun english (both verbal writing) A formal train provid join regard industri standard requirements.. salari negoti depend candid experi .. salary:inr 1,50,000 - 3,75,000 p.a industry: industri product / heavi machineri function area: engin design , r&d role category:engin design role:design engin keyskil design engin mechan design materi handl autodesk inventor desir candid profil pleas refer job descript education- ug: b.tech/b.e. - mechanical, mineral, mining, diploma - ani special compani profile: R3 plant design R3 plant design, bommasandra industri area bangalor download ppt photo 1 view contact detail",9909,['Bengaluru'],Design Engineer,"1,50,000 - 3,75,000 P.A",Engineering Design,13923
4,IFB Support Services Pvt. Ltd.,UG: Any Graduate - Any Specialization,5 ,"['IT-Software ', ' Software Services']"," purpos : the 1fbsspl devop engin (doe) manag maintain softwar develop systems, java-bas applic servers, apach web servers. report to: senior gener manag (it head - india) work hours: 2:00pm 11:00pm report by: nil (individu contributor role) job overview : the 1fbsspl devop engin (doe) manag maintain softwar develop systems, java-bas applic servers, apach web servers. the devop engin assist design robust java-bas applic architectur use weblogic, tibco businessworks, F5 network devices, apach web servers. the doe work improv oper reliabl softwar develop system applic server autom monitor autom common tasks. essenti function respons : build new softwar develop system upgrad patch exist systems. act liaison softwar develop group oper group resolv issu system configur behavior. configure, patch, maintain linux-bas applic server develop servers. work close u.s. base softwar develop team oper personnel insur develop environ correctli configured. Be quick recogn task autom autom reduc manual effort improv repeatability. conduct perform fault analysi applic assist softwar developers. deploy web applic cluster load balanc n-tier infrastructur write maintain document involv job relat functions. job requir : minimum 5 year total relev experience. three year experi previou devop role work unix/linux server java applic weblog applic servers. experi write complex shell scripts. weblog java applic server administr tune experience. expert level understand networking/distribut comput concept client/serv applic linux administr experi (e.g. ubuntu, redhat/centos) focu web (apache) ansibl would plus. experi nagios, write nagio script understand protocol technolog like http, ssl, ldap, jdbc, servlet/jsp, html, xml understand applic clustering/load balanc concept technolog excel verbal written commun skill english required. abil handl chang self-start attitud required. abil work independ also coordin other priorit project well combin research expertis assist organization. A passion provid excel servic salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:releas manag keyskil ansibl unix python script continu integr build deploy build releas deploy desir candid profil pleas refer job descript education- ug: ani graduat - ani special compani profile: ifb support servic pvt. ltd. 1fb support servic privat limit (1fbsspl) high growth, small format, multi-disciplin bpo/ kpo organization. the compani engag busi provid inform technolog manag services, risk manag servic contact centr base custom support collect servic parent 1st financi bank usa (1fbusa). 1fbusa fdic-insured, state-chart bank headquart dakota dunes, south dakota, found 1910. It multipl subsidiari oper variou locat across unit states. the bank lead provid financi servic colleg student graduat coast coast, commit provid qualiti commun bank servic south dakota. 1fbsspl offer opportun learn credit card business, work latest technology, build new applic systems, interact US colleagu direct impact busi outcom collegial, famili atmospher state-of-the-art work environment. download ppt photo 1 view contact detail",9921,['Bengaluru'],Devops Engineer,-,IT Software - Application Programming,6731
5,Kinesis Management Consultant Pvt. Ltd,"UG: B.Tech/B.E. - Any Specialization, Diploma - Any Specialization, B.Sc - Any Specialization, BCA - Computers PG:M.Tech - Any Specialization, MCA - Computers, PG Diploma - Any Specialization",2 ,"['IT-Software ', ' Software Services']"," softwar develop java.min 3-8 year experi applic softwar designing, program & delivery..knowledg hardwar infrastructur like servers, network, cloud, vp & domains.java multithreading,spring, server deploy ,sql salary:inr 4,00,000 - 8,00,000 p.a industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil softwar develop oop cloud lead develop softwar program multithread socket program concurr java strut webservic json jsp soap data serial rmi xml ftp ssh design pattern core design servlet pl desir candid profil knowledg java program languag oop concepts.knowledg advanc java (j2ee) concept like servlet jsp, soap base web servic development. multi thread java.socket program java. concurr java,mysql,pl, education- ug: b.tech/b.e. - ani specialization, diploma - ani specialization, b.sc - ani specialization, bca - comput pg:m.tech - ani specialization, mca - computers, PG diploma - ani special compani profile: kinesi manag consult pvt. ltd compani base mumbai delhi team strength around 100.our solut make factori oper efficient, reliabl less user dependent, use combin software, electron process engineering. download ppt photo 1 view contact detail",9910,"['Mumbai,', 'Bengaluru,', 'Delhi', 'NCR,', 'Chennai,', 'Greater', 'Noida,', 'Hyderabad']",Java Developers,"4,00,000 - 8,00,000 P.A",IT Software - Application Programming,7988
6,PlaySimple - Startup,"UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization Doctorate:Doctorate Not Required",3 ,"['Internet ', ' Ecommerce']","descript playsimpl game look product manag own, ship & run mobil game rocket speed. it fast-paced, high-adrenalin job, plenti learn build. If enjoy crunch numbers, never satisfi product around you, would relish new challeng everi day, youll love job. salary: not disclos recruit industry: internet / ecommerc function area: IT softwar - mobil role category:program & design role:product manag keyskil product manag product manag desir candid profil what we'r look forno excus leadership extrem passion work - quit simply, look smart, creativ product peopl drive result quickly, high quality. strong analyt skills, abil teas action insight data, given. had leadership role compani abil balanc multipl projects, deadlines, respons time It would help experi run web/mobil consum products. It would realli help experi analytics, . It would really, realli help demonstr product leadership past gaming, mobile, social space. education- ug: ani graduat - ani specialization, b.tech/b.e. - ani special doctorate:doctor not requir compani profile: playsimpl - startup we'r build world-class mobil entertain compani india. * our first two game runaway hit worldwide, 7m+ players. download ppt photo 1 view contact detail",7881,['Bengaluru'],Product Manager,-,comercial awareness marketing communication skills creativity presentation skills,13659
7,Confidential,"UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization, MCA - Computers, MS/M.Sc(Science) - Any Specialization",3 ,"['IT-Software ', ' Software Services']","o, hope good. greetings!!! I opportun well known mnc posit softwar engin also tech lead exposur asp.net, C# mvc. mvc must current project. min exp. mvc 1 year. exp. softwar engineer- 3 6 year lead role - 7 11 year pleas find detail JD below. experi work part team follow agil scrum methodolog * experi develop web applications. If asp.net position, asp.net mvc, restful, web services. If php position, php experi desir work .net, java platform ideal. * experi front-end technolog javascript, html5, css, angularjs, backbonejs, emberjs, knockoutj * experi databas tool (postgresql, entiti framework, orm llblgen pro, nosql concepts) * experi rule engin (camel, drools, jrules) * experi softwar version manag (svn, git mercurial) * strong oral written commun skills. If interest pleas share updat resum mention email id. email ID - khushbooj@scaleneworks.org regards, khushboo salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil &quot ; asp.net&quot ; &quot ; c#&quot ; &quot ; mvc"" javascript html5 css angularj backbonej emberj knockoutj postgresql entiti llblgen pro nosql desir candid profil education- ug: b.tech/b.e. - ani special pg:m.tech - ani specialization, mca - computers, ms/m.sc(science) - ani special compani profile: confidenti confidenti download ppt photo 1 view contact detail",710,['Bengaluru'],Software Engineer,-,coding c c++ python software testing machine learning deep learning java oop,12056
9,Span Outsourcing Pvt. Ltd.,Doctorate:Doctorate Not Required,1 ,"['BPO ', ' Call Centre ', ' ITES']","rstand requirements, sourc profiles, tele screen candidates, screen candid walkin process candid till offer rejection. experi place sale profil ad advantage. salary:inr 2,00,000 - 3,00,000 p.a. attract incent industry: bpo / call centr / ite function area: HR , recruit , administr , IR role category:hr/ recruit / IR role:recruit execut keyskil recruit recruit recruit staf recruit execut talent acquisit hire execut recruit consult staf execut desir candid profil good commun skill abil sourc profil variou sourc education- doctorate:doctor not requir compani profile: span outsourc pvt. ltd. one top market outsourc compani world help client sustain grow. download ppt photo 1 view contact detail",8606,['Bengaluru'],Recruitment Executive,"2,00,000 - 3,00,000 P.A. Attractive Incentives",HR,16363
11,Altisource Business Solutions Pvt Ltd,UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization Doctorate:Doctorate Not Required,4 ,"['IT-Software ', ' Software Services']","autom test engin shift time: 1 10 pm ist responsibilities: As part autom tester profile, key function need perform individu include: devis test strategi creat test plan test functionality. decid autom process develop autom system test deliverable. select develop appropri test autom tool per requirements, appli latest techniqu test automation; e.g., data-driven testing. work develop team captur reus autom unit test cases, test stub drivers, develop test objects. work releas engin team creat maintain autom nightli build verif (smoke) test. ensur proper version control configur manag test object develop test environ used. research document bug report follow agreed-upon process immedi upon discoveri qualiti problem. updat test execut statu follow agreed-upon process part regularly-schedul test statu updates. trace test case result back specif qualiti risks. salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil build autom test test case test engin test execut releas engin configur manag unit test version control autom tool desir candid profil knowledg & experience:4 8 year experi autom test well manual testing handl multipl tasks/subproject simultaneouslymust expert level compet autom use tool like selenium HP qtpmust expert level compet java, selenium, junit xml, web services, databas (mysql)good script languag knowledg (for example: perl, unix shell, groovy) good experi tool like jira, wiki, intellij idea, QC soapuigood experi autom test creation xml relat communicationsgood english commun skills, written verbal quick learner demonstr initi qualifications:masters/bachelor degre engin reput colleg first class. education- ug: b.tech/b.e. - ani special pg:m.tech - ani special doctorate:doctor not requir compani profile: altisourc busi solut pvt ltd altisourc busi solut pvt ltd download ppt photo 1 view contact detail",7918,['Bengaluru'],Senior Software Engineer,-,communication skills sql queries system desgin machine learning deep learning data structures  devops http algorithms rest api soap saas json nosql mongodb,9803
12,Confidential,UG: Any Graduate - Any Specialization,5 ,"['Recruitment ', ' Staffing']","ir skills: oracl dba experi required: 5 To 10year notic period: 10-15 day job location: chennai, salary: not disclos recruit industry: recruit / staf function area: IT softwar - dba , datawareh role category:admin/maintenance/security/datawareh role:dba keyskil databas administr oracl dba dba desir candid profil education- ug: ani graduat - ani special compani profile: confidenti confidenti download ppt photo 1 view contact detail",6875,['Bengaluru'],Oracle DBA,-,IT Software - DBA,17671
